"ORÇADO (2026 - 2028)","TOTAL (GASTO)","TOTAL (ORÇADO)","jan/26","fev/26","mar/26","abr/26","mai/26","jun/26","jul/26","ago/26","set/26","out/26","nov/26","dez/26","jan/27","fev/27","mar/27","abr/27","mai/27","jun/27","jul/27","ago/27","set/27","out/27","nov/27","dez/27","jan/28","fev/28","mar/28"
"DUE DILIGENCE"," R$ -   "," R$ 400.000,00 "," R$ -   "," R$ -   "," R$ -   "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ 33.333,33 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"CLPI"," R$ -   "," R$ 439.392,00 "," R$ -   "," R$ -   "," R$ -   "," R$ 87.878,40 "," R$ 219.696,00 "," R$ 131.817,60 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"IMPLEMENTAÇÃO DE ATIVIDADES SOCIAIS"," R$ -   "," R$ 7.472.156,60 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 498.143,77 "," R$ 1.494.431,32 "," R$ 498.143,77 ",""," R$ 498.143,77 "," R$ 1.494.431,32 "," R$ 498.143,77 ",""," R$ 498.143,77 "," R$ 1.494.431,32 "," R$ 498.143,77 "
"GOVERNANÇA"," R$ -   "," R$ 1.199.964,00 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ 119.996,40 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"DIAGNÓSTICO SOCIAL"," R$ -   "," R$ 419.928,00 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 83.985,60 "," R$ 125.978,40 "," R$ 125.978,40 "," R$ 83.985,60 ",""," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   ",""," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"LINHA DE BASE CARBONO"," R$ -   "," R$ 283.068,46 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 56.613,69 "," R$ 84.920,54 "," R$ 84.920,54 "," R$ 56.613,69 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"INVENTÁRIO DE FAUNA"," R$ -   "," R$ 803.382,58 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 64.211,20 "," R$ 96.316,80 "," R$ 96.316,80 "," R$ 64.211,20 "," R$ -   "," R$ -   "," R$ 96.465,32 "," R$ 144.697,97 "," R$ 144.697,97 "," R$ 96.465,32 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"MONITORAMENTO (FAUNA, FLORA)"," R$ -   "," R$ 1.086.451,04 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 120.824,89 "," R$ 181.237,34 "," R$ 181.237,34 "," R$ 120.824,89 "," R$ -   "," R$ -   "," R$ -   "," R$ 241.163,29 "," R$ 241.163,29 "
"EQUITABLE EARTH - VIABILIDADE "," R$ -   "," R$ 2.217.638,58 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 665.291,57 "," R$ -   "," R$ -   "," R$ -   "," R$ 1.552.347,00 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"EQUITABLE EARTH - PROJECT DESIGN"," R$ -   "," R$ 931.906,74 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ 931.906,74 "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"EQUITABLE EARTH - MONITORAMENTO ANUAL"," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"VVB "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   "
"Gastos indiretos do projeto"," R$ -   "," R$ 534.742,00 "," R$ -   "," R$ -   "," R$ -   "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 21.666,67 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "," R$ 22.895,17 "
"Custos Indiretos de Escritório"," R$ -   "," R$ 10.773.360,00 "," R$ -   "," R$ -   "," R$ -   "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "," R$ 448.890,00 "
"IMPOSTOS"," R$ -   "," R$ -   "," R$ -   "," R$ -   "," R$ -   ","","","","","","","","","","","","","","","","","","","","","","","",""
"  GASTOS TOTAIS  "," R$ 26.561.990,00 ",""," R$ -   "," R$ -   "," R$ -   "," R$ 591.768,40 "," R$ 723.586,00 "," R$ 635.707,60 "," R$ 707.872,00 "," R$ 870.689,69 "," R$ 931.102,14 "," R$ 889.109,34 "," R$ 744.711,29 "," R$ 623.886,40 "," R$ 623.886,40 "," R$ 720.351,72 "," R$ 768.584,37 "," R$ 1.401.771,11 "," R$ 1.066.394,26 "," R$ 1.966.216,49 "," R$ 2.022.660,57 "," R$ 2.205.369,51 "," R$ 1.151.166,28 "," R$ 2.087.041,38 "," R$ 969.928,94 "," R$ 471.785,17 "," R$ 969.928,94 "," R$ 2.207.379,78 "," R$ 1.211.092,23 "
" (SEM IMPOSTOS) "," R$ 26.561.990,00 ",""," R$ -   "," R$ -   "," R$ -   "," R$ 591.768,40 "," R$ 723.586,00 "," R$ 635.707,60 "," R$ 707.872,00 "," R$ 870.689,69 "," R$ 931.102,14 "," R$ 889.109,34 "," R$ 744.711,29 "," R$ 623.886,40 "," R$ 623.886,40 "," R$ 720.351,72 "," R$ 768.584,37 "," R$ 1.401.771,11 "," R$ 1.066.394,26 "," R$ 1.966.216,49 "," R$ 2.022.660,57 "," R$ 2.205.369,51 "," R$ 1.151.166,28 "," R$ 2.087.041,38 "," R$ 969.928,94 "," R$ 471.785,17 "," R$ 969.928,94 "," R$ 2.207.379,78 "," R$ 1.211.092,23"
