"tipo","ano","(=) Fluxo de Comercialização ","(+) Receita Bruta","(-) Impostos (PIS/COFINS)","(=) Receita Líquida","(-) Custos (Verificações - Certificadora)","(-) Despesas Gerais e Adm. / Equipe Operacional e Logística","(-) OpEx - Gerenciamento do Projeto e Carbono","(=) Lucro Bruto","(-) OpEx Complementar (Atividades Sociais e Monitoramento)","(-) PSA","(-) Outorga","(=) Resultado Operacional","(-) Juros Dívida","(=) Base IR/CSLL","(-) IR/CSLL","(+) Entrada Dívida","(-) Amortização Principal Dívida","(=) Fluxo de Caixa do Projeto"
"COMUNIDADE","2024","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"COMUNIDADE","2025","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"COMUNIDADE","2026","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2027","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2028","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2029","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2030","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2031","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2032","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2033","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2034","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2035","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2036","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2037","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2038","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2039","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2040","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2041","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2042","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2043","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2044","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2045","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2046","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2047","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2048","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2049","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2050","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2051","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2052","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2053","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2054","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2055","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2056","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2057","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2058","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2059","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2060","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2061","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2062","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2063","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"COMUNIDADE","2064","2752899,8","227114233,50","8289669,52","218824563,98","0,00","0,00","0,00","218824563,98","0,00","0,00","0,00","218824563,98","0,00","218824563,98","16805726,51","0,00","0,00","202018837,46"
"DESENVOLVEDOR","2024","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","8386569,48","63098735,61","7895827,88","0,00","0,00","55202907,74","0,00","55202907,74","4239583,31","0,00","0,00","50963324,42"
"DESENVOLVEDOR","2025","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","5787844,07","65697461,02","7895827,88","0,00","0,00","57801633,14","0,00","57801633,14","4439165,43","0,00","0,00","53362467,71"
"DESENVOLVEDOR","2026","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","5787844,07","65697461,02","7895827,88","0,00","0,00","57801633,14","0,00","57801633,14","4439165,43","0,00","0,00","53362467,71"
"DESENVOLVEDOR","2027","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","5787844,07","65697461,02","7895827,88","0,00","0,00","57801633,14","0,00","57801633,14","4439165,43","0,00","0,00","53362467,71"
"DESENVOLVEDOR","2028","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","8386569,48","63098735,61","7895827,88","0,00","0,00","55202907,74","0,00","55202907,74","4239583,31","0,00","0,00","50963324,42"
"DESENVOLVEDOR","2029","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","5787844,07","65697461,02","7895827,88","0,00","0,00","57801633,14","0,00","57801633,14","4439165,43","0,00","0,00","53362467,71"
"DESENVOLVEDOR","2030","1179814,2","97334671,50","3552715,51","93781955,99","16329804,14","5966846,76","5787844,07","65697461,02","7895827,88","0,00","0,00","57801633,14","0,00","57801633,14","4439165,43","0,00","0,00","53362467,71"
